"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","ISSN","ISBN","CODEN","Document Type","Publication Stage","Open Access","Source","EID"
"Xiong C.; Padilla L.; Grayson K.; Franconeri S.","Xiong, C. (57211998174); Padilla, L. (56572388400); Grayson, K. (6701672219); Franconeri, S. (6603307356)","57211998174; 56572388400; 6701672219; 6603307356","Examining the Components of Trust in Map-Based Visualizations","2019","TrustVis 2019 - EuroVis Workshop on Trustworthy Visualization","","","","19","23","4","14","10.2312/trvis.20191186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088154133&doi=10.2312%2ftrvis.20191186&partnerID=40&md5=7deb408d8c6d63f24aa2a80cbc92da63","Prior research suggests that perceived transparency is often associated with perceived trust. For some data types, greater transparency in data visualization is also associated with an increase in the amount of information depicted. Based on prior work in economics and political science that has identified four dimensions of transparency, we examined the influence of accuracy, clarity, amount of disclosure, and thoroughness on a decision task where participants relied on map-based visualizations with varying complexity to solve a crisis. The results of our preliminary analysis suggest that perceived clarity, amount of disclosure. and thoroughness significantly predicted individuals’ selection of a Google Maps-like application with either less information or more information. Trust and perceived accuracy did not significantly predict which navigation application visualization participants decided to use (i.e., one with more information or less information). Further, our preliminary results suggest that an individual’s ratings of accuracy and disclosure of a visualization predicted their ratings of the trustworthiness of that visualization. We discuss the implications of a possible dissociation between trust and decision tasks on visualization evaluation. In future work, we aim to examine the influence of the amount of information shown in a visualization on ratings of trust and determine the generalizability of our preliminary findings to different task types and visualization approaches. © 2019 The Author(s).","","Data visualization; Transparency; Amount of information; Datatypes; Decision task; Economic science; Four dimensions; Google maps; Perceived trusts; Political science; Preliminary analysis; Task type; Visualization","The Eurographics Association","EUROGRAPHICS Association","1st EuroVis Workshop on Trustworthy Visualization, TrustVis 2019","3 June 2019","Porto","174900","","978-303868091-8","","Conference paper","Final","","Scopus","2-s2.0-85088154133"
"Li S.; Caporusso N.","Li, Sijia (57210232386); Caporusso, Nicholas (21734204500)","57210232386; 21734204500","Investigating transparency and accountability of user interfaces for data visualization: A case study on crowdfunding","2020","Advances in Intelligent Systems and Computing","1018","","","777","782","5","0","10.1007/978-3-030-25629-6_121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070006687&doi=10.1007%2f978-3-030-25629-6_121&partnerID=40&md5=248a7276b829c4ce0b94b8f864c7e884","Crowdfunding is an innovative form of fund raising that enables individuals and businesses to leverage a large audience of potential supporters for financing their projects: disseminating the message to many potential contributors compensates for the smaller individual commitment. In the recent years, thanks to web-based platforms, crowdfunding received increasing attention and branched into several subtypes, such as, reward-based and equity-based initiatives, which enable supporters to pre-buy products or acquire company shares, respectively. Indeed, crowdfunding platforms have several advantages (e.g., reducing barriers to bottom up initiatives and democratizing access to high-return investments). Simultaneously, as governments are in their early stage of addressing the many risks and grey areas related to the dynamics of crowdfunding, the accountability of platforms has a crucial role. In this paper, we investigate the transparency of the User Interface (UI) of equity crowdfunding platforms and we discuss the implications in enabling users to make better informed decisions about their investments. © 2020, Springer Nature Switzerland AG.","Crowdfunding; Data visualization; Equity crowdfunding; Heuristic evaluation; Inferability; Reward-based crowdfunding; Visibility","Crowdsourcing; Data visualization; Transparency; Visibility; Visualization; Crowdfunding; Equity crowdfunding; Heuristic evaluation; Inferability; Reward-based crowdfunding; User interfaces","Springer Verlag","","1st International Conference on Human Interaction and Emerging Technologies, IHIET 2019","22 August 2019 through 24 August 2019","Nice","229139","21945357","978-303025628-9","","Conference paper","Final","","Scopus","2-s2.0-85070006687"
"Roberts J.; Fisher D.","Roberts, Jesse (57222372608); Fisher, Douglas (7403343284)","57222372608; 7403343284","PReview: The Artificially Intelligent Conference Reviewer","2020","Proceedings - 19th IEEE International Conference on Machine Learning and Applications, ICMLA 2020","","","9356281","665","668","3","2","10.1109/ICMLA51294.2020.00110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102487789&doi=10.1109%2fICMLA51294.2020.00110&partnerID=40&md5=693e39e540b2460ecf774b5cba4ea44c","Currently there are very few AI tools available to conference reviewers to support the academic process. In this paper we present a naive, first attempt at an automated conference reviewer called pReview. pReview provides a paper summary, contribution summary, writing quality analysis, and set of potential related works as well as an intellectual space visualization to aid the busy academics who volunteer their time as conference paper reviewers. To limit the plethora of ethical issues emerging when a computer is left to judge a human creation, pReview and future systems of this variety should be judiciously viewed as review support tools and never as a replacement for the traditional review process. © 2020 IEEE.","AI; automated paper review; computational creativity; computational criticism; conference review; ML; paper review; statistical learning","Conference papers; Ethical issues; Related works; Review process; Space visualization; Support tool; Writing quality; Machine learning","Institute of Electrical and Electronics Engineers Inc.","","19th IEEE International Conference on Machine Learning and Applications, ICMLA 2020","14 December 2020 through 17 December 2020","Virtual, Miami","167387","","978-172818470-8","","Conference paper","Final","","Scopus","2-s2.0-85102487789"
"Kantor A.; Rafaeli S.","Kantor, Avner (57219708180); Rafaeli, Sheizaf (6602722788)","57219708180; 6602722788","Open PISA: Dashboard for Large Educational Dataset","2020","L@S 2020 - Proceedings of the 7th ACM Conference on Learning @ Scale","","","","253","256","3","2","10.1145/3386527.3406721","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094119335&doi=10.1145%2f3386527.3406721&partnerID=40&md5=0bf33dd43b646c9b185a02f67014d5db","International Large-Scale Assessments (ILSA) have a critical role in shaping education systems around the world. They impact local and national education policy and receive much attention in the media and the public discourse. However, the public has limited access to the results and cannot learn from them. Subsequently, the media might frame the results incorrectly. The transparency of ILSA is essential to the advancement of the public discourse. It requires easy access to data together with simple analysis tools. However, the complexity of ILSA makes it hard to understand and to analyze. Open PISA tries to deal with this challenge by developing a dashboard for the Program for International Student Assessment (PISA). It aims to guide users in the analysis of the dataset. This paper describes the dashboard design and insight based on collected users' responses. It hypothesizes that full transparency of the PISA dataset might be not achievable to the entire public. Further research is needed to evaluate how dataset analysis affects users' knowledge and opinions. © 2020 ACM.","citizen science; dashboards; international large-scale assessments; pisa; statistical literacy; visualizations","Transparency; Data-set analysis; Education policies; Education systems; International students; Simple analysis; Large dataset","Association for Computing Machinery","","7th Annual ACM Conference on Learning at Scale, L@S 2020","12 August 2020 through 14 August 2020","Virtual, Online","162054","","978-145037951-9","","Conference paper","Final","","Scopus","2-s2.0-85094119335"
"Heuer H.; Breiter A.","Heuer, Hendrik (57204662235); Breiter, Andreas (56188519100)","57204662235; 56188519100","More Than Accuracy: Towards Trustworthy Machine Learning Interfaces for Object Recognition","2020","UMAP 2020 - Proceedings of the 28th ACM Conference on User Modeling, Adaptation and Personalization","","","","298","302","4","3","10.1145/3340631.3394873","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089341327&doi=10.1145%2f3340631.3394873&partnerID=40&md5=2ff60ebe45a6c293d4e23479386e6af0","This paper investigates the user experience of visualizations of a machine learning (ML) system that recognizes objects in images. This is important since even good systems can fail in unexpected ways as misclassifications on photo-sharing websites showed. In our study, we exposed users with a background in ML to three visualizations of three systems with different levels of accuracy. In interviews, we explored how the visualization helped users assess the accuracy of systems in use and how the visualization and the accuracy of the system affected trust and reliance. We found that participants do not only focus on accuracy when assessing ML systems. They also take the perceived plausibility and severity of misclassification into account and prefer seeing the probability of predictions. Semantically plausible errors are judged as less severe than errors that are implausible, which means that system accuracy could be communicated through the types of errors. © 2020 ACM.","algorithmic bias; algorithmic experience; human-centered machine learning; trust; user experience","Errors; Machine learning; Object recognition; Visualization; Misclassifications; Ml systems; Photo sharing; System accuracy; User experience","Association for Computing Machinery, Inc","ACM SIGCHI; ACM SIGWEB","28th ACM International Conference on User Modeling, Adaptation, and Personalization, UMAP 2020","14 July 2020 through 17 July 2020","Genoa","161735","","978-145036861-2","","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85089341327"
"Snyder J.","Snyder, Jaime (26538036200)","26538036200","Visualizing personal rhythms: A critical visual analysis of mental health in flux","2020","DIS 2020 - Proceedings of the 2020 ACM Designing Interactive Systems Conference","","","","269","281","12","6","10.1145/3357236.3395463","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090497946&doi=10.1145%2f3357236.3395463&partnerID=40&md5=de889ce9216b38b730e200d57a945e77","Visualizations of personal data in self-tracking systems can make even subtle shifts in mental and physical states observable, greatly influencing how health and wellness goals are set, pursued, and achieved. At the same time, recent work in data ethics cautions that standardized models can have unintended negative consequences for some user groups. Through collaborative design and critical visual analysis, this study contrasts conventional visualizations of personal data with the ways that vulnerable populations represent their lived experiences. Participants self-tracked to manage bipolar disorder, a mental illness characterized by severe and unpredictable mood changes. During design sessions, each created a series of timeline drawings depicting their experiences with mental health. Examples of adaptive and vernacular design, these images use both normative standards and individualized graphic modifications. Analysis shows that conventional visual encodings can support facets of self-assessment while also imposing problematic normative standards onto deeply personal experiences. © 2020 ACM.","Co-design; Critical visual analysis; Data ethics; Mental health; Personal visualization","Diseases; Visualization; Bipolar disorder; Collaborative design; Health and wellness; Personal experience; Self assessment; Standardized models; Visual analysis; Visual encodings; Population statistics","Association for Computing Machinery, Inc","ACM SIGCHI","2020 ACM Conference on Designing Interactive Systems, DIS 2020","6 July 2020 through 10 July 2020","Eindhoven","161555","","978-145036974-9","","Conference paper","Final","","Scopus","2-s2.0-85090497946"
"Kunkel J.; Feldkamp T.; Ziegler J.","Kunkel, Johannes (57193770993); Feldkamp, Tamara (57211144812); Ziegler, Jürgen (12797843900)","57193770993; 57211144812; 12797843900","Map-based Visualization of Item Spaces for Increasing Transparency and Control in Recommender Systems; [Kartenbasierte Produktraumdarstellung zur Erhöhung von Transparenz und Steuerbarkeit in Empfehlungssystemen]","2019","ACM International Conference Proceeding Series","","","","695","699","4","0","10.1145/3340764.3344893","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072798579&doi=10.1145%2f3340764.3344893&partnerID=40&md5=20c8037c946607221ba8025225f5a170","Recommender systems (RS) are very common tools designed to help users choose items from a large number of alternatives. While their algorithms are already quite mature in terms of precision, RS cannot unfold their full potential due to a lack of transparency and missing means of control. In this paper we introduce a method aiming at creating recommendations that are comprehensible and controllable by their users while granting an overview over the item domain. To achieve this, the entire item space of a domain is visualized using a map-like interface. Inside, users can express their preferences on which the RS reacts with matching recommendations. To change recommendations, users can alter their preferences expressed, which creates a continuous feedback loop between user and RS. We demonstrate our general method using two prototype applications, located in different item domains and utilizing different forms of visualization and interaction modalities. Empirical user studies with both prototypes show a great potential of our method to increase overview, transparency and control in RS. © 2019 Association for Computing Machinery.","Empfehlungssysteme; Filterblasen; Nutzerkontrolle; Transparenz","Recommender systems; Visualization; Empfehlungssysteme; Feed-back loop; Filterblasen; General method; Nutzerkontrolle; Transparenz; User study; Transparency","Association for Computing Machinery","","2019 Conference on Mensch und Computer, MuC 2019","8 September 2019 through 11 September 2019","Hamburg","151593","","978-145037198-8","","Conference paper","Final","","Scopus","2-s2.0-85072798579"
"Dimara E.; Franconeri S.; Plaisant C.; Bezerianos A.; Dragicevic P.","Dimara, Evanthia (55657367100); Franconeri, Steven (6603307356); Plaisant, Catherine (7003577013); Bezerianos, Anastasia (10045805300); Dragicevic, Pierre (55906779900)","55657367100; 6603307356; 7003577013; 10045805300; 55906779900","A Task-Based Taxonomy of Cognitive Biases for Information Visualization","2020","IEEE Transactions on Visualization and Computer Graphics","26","2","8476234","1413","1432","19","73","10.1109/TVCG.2018.2872577","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054416920&doi=10.1109%2fTVCG.2018.2872577&partnerID=40&md5=46911fe2e155384ee8d619ea86785088","Information visualization designers strive to design data displays that allow for efficient exploration, analysis, and communication of patterns in data, leading to informed decisions. Unfortunately, human judgment and decision making are imperfect and often plagued by cognitive biases. There is limited empirical research documenting how these biases affect visual data analysis activities. Existing taxonomies are organized by cognitive theories that are hard to associate with visualization tasks. Based on a survey of the literature we propose a task-based taxonomy of 154 cognitive biases organized in 7 main categories. We hope the taxonomy will help visualization researchers relate their design to the corresponding possible biases, and lead to new research that detects and addresses biased judgment and decision making in data visualization. © 1995-2012 IEEE.","classification; Cognitive bias; decision making; taxonomy; visualization","Bias; Cognition; Computer Graphics; Decision Making; Empirical Research; Humans; Photic Stimulation; Classification (of information); Decision making; Flow visualization; Information systems; Job analysis; Taxonomies; Visualization; Cognition; Cognitive bias; Empirical research; Information visualization; Judgment and decision makings; Systematics; Task analysis; Visual data analysis; classification; cognition; computer graphics; decision making; empirical research; human; photostimulation; physiology; statistical bias; Data visualization","IEEE Computer Society","","","","","","10772626","","ITVGE","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85054416920"
"Wall E.; Stasko J.; Endert A.","Wall, Emily (57192168592); Stasko, John (7006755495); Endert, Alex (35298884900)","57192168592; 7006755495; 35298884900","Toward a Design Space for Mitigating Cognitive Bias in Vis","2019","2019 IEEE Visualization Conference, VIS 2019","","","8933611","111","115","4","24","10.1109/VISUAL.2019.8933611","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077987691&doi=10.1109%2fVISUAL.2019.8933611&partnerID=40&md5=7efe33d84f27569a527ac3adc0bb53a6","The use of cognitive heuristics often leads to fast and effective decisions. However, they can also systematically and predictably lead to errors known as cognitive biases. Strategies for minimizing or mitigating these biases, however, remain largely non-technological (e.g., training courses). The growing use of visual analytic (VA) tools for analysis and decision making enables a new class of bias mitigation strategies. In this work, we explore the ways in which the design of visualizations (vis) may be used to mitigate cognitive biases. We derive a design space comprised of 8 dimensions that can be manipulated to impact a user's cognitive and analytic processes and describe them through an example hiring scenario. This design space can be used to guide and inform future vis systems that may integrate cognitive processes more closely. © 2019 IEEE.","Human Computer Interaction (HCI); Human-centered computing; Index Terms: Human-centered computing; Visualization","Decision making; Flow visualization; Human computer interaction; Visualization; Cognitive bias; Cognitive process; Design spaces; Human computer interaction (HCI); Human-centered computing; Mitigation strategy; Training course; Cognitive systems","Institute of Electrical and Electronics Engineers Inc.","","2019 IEEE Visualization Conference, VIS 2019","20 October 2019 through 25 October 2019","Vancouver","156155","","978-172814941-7","","Conference paper","Final","","Scopus","2-s2.0-85077987691"
"Wingo H.","Wingo, Harry (57203435469)","57203435469","Smart city IoT: Co-designing trustworthy public safety drones for indoor flight missions","2020","European Conference on Information Warfare and Security, ECCWS","2020-June","","","406","409","3","0","10.34190/EWS.20.509","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094649320&doi=10.34190%2fEWS.20.509&partnerID=40&md5=81a08ad45a42bcf0b4d1d8a1766db573","This paper proposes a collaborative design (“co-design”) approach to accelerating public and political acceptance of the cyberspace and information risks, inherent to the development and deployment of indoor smart building unmanned aircraft systems (UAS) to provide immediate “visual access” to law enforcement and other armed first responders in the case of an active shooter incident inside of a building, including risks concerning (1) system safety and reliability; (2) supply chain security; (3) cybersecurity; and (4) privacy. The paper explores the potential to use a virtual world platform as part of a phased pilot at the U.S. Service Academies to build trust in the privacy, security and efficacy of a counter active shooter UAS (CAS-UAS), trust necessary to win public and political support for procuring, developing, and deploying such a system. By using a live-virtual-constructive approach similar to the U.S. military’s synthetic training environments (STE), to intentionally engage a cross-functional team in a pilot to field a prototype CAS-UAS, a co-created CAS-UAS could anticipate and address security and privacy concerns of the sort that slowed the roll-out of police body-worn cameras (BWC) and wide area motion imagery (WAMI), particularly in the context of privacy concerns over the use of facial recognition. The paper is intended to provide communities with a new approach to identify and address policy obstacles to deploying smart city IoT technology to save lives, here in the case of a CAS-UAS that can enhance situational awareness for first responders during active shootings inside of public buildings like shopping malls, corporate headquarters, houses of worship or schools. The paper draws on the author’s personal experience testifying before the U.S. Congress concerning recent questions about the supply chain security of small commercial drones. © 2020 Curran Associates Inc.. All rights reserved.","Comprehensive Privacy Policy Systems; 3D Visualization Cyberspace: The New Battlefield Cyber Manoeuvre Warfare; Cyber-Security in Smart Cities; Privacy; Data Science; Public Safety; Cloud and Edge Computing; Artificial Intelligence; Transparent; Usable","Cybersecurity; Face recognition; Internet of things; Law enforcement; Smart city; Supply chains; Three dimensional computer graphics; 3D Visualization; 3d visualization cyberspace: the new battlefield cybe maneuver warfare;; Artificial intelligence;; Cloud and edge computing;; Cloud-computing; Comprehensive privacy policy system;; Cybe-security in smart city;; Cyber security; Cyberspaces; Data science;; Edge computing; Policy systems; Privacy; Privacy policies; Public safety; Public safety;; Transparent; Usable; Drones","Curran Associates Inc.","","19th European Conference on Cyber Warfare and Security, ECCWS 2020","25 June 2020 through 26 June 2020","Virtual, Online","163901","20488602","978-191276461-7","","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85094649320"
"Nalcaci A.; Girgin D.; Balki S.; Talay F.; Boz H.A.; Balcisoy S.","Nalcaci, A. (57387999600); Girgin, D. (57387691700); Balki, S. (57387773700); Talay, F. (57387691800); Boz, H.A. (57221820123); Balcisoy, S. (14035040000)","57387999600; 57387691700; 57387773700; 57387691800; 57221820123; 14035040000","Detection of Confirmation and Distinction Biases in Visual Analytics Systems","2019","TrustVis 2019 - EuroVis Workshop on Trustworthy Visualization","","","","13","17","4","1","10.2312/trvis.20191185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088117585&doi=10.2312%2ftrvis.20191185&partnerID=40&md5=cc1bb8b362f2c9f24b9b4c0a37d55de5","Cognitive bias is a systematic error that introduces drifts and distortions in the human judgment in terms of visual decomposition in the direction of the dominant instance. It has a significant role in decision-making process by means of evaluation of data visualizations. This paper elaborates on the experimental depiction of two cognitive bias types, namely Distinction Bias and Confirmation Bias, through the examination of cognate visual experimentations. The main goal of this implementation is to indicate the existence of cognitive bias in visual analytics systems through the adjustment of data visualization and crowdsourcing in terms of confirmation and distinction biases. Two distinct surveys that include biased and unbiased data visualizations which are related to a given data set were established in order to detect and measure the level of existence of introduced bias types. Practice of crowdsourcing which is provided by Amazon Mechanical Turk have been used for experimentation purposes through prepared surveys. Results statistically indicate that both distinction and confirmation biases has substantial effect and prominent significance on decision-making process. © 2019 The Author(s).","","Cognitive systems; Crowdsourcing; Decision making; Surveys; Visualization; Amazon's mechanical turks; Cognitive bias; Confirmation bias; Data set; Decision-making process; Human judgments; Visual analytics systems; Data visualization","The Eurographics Association","EUROGRAPHICS Association","1st EuroVis Workshop on Trustworthy Visualization, TrustVis 2019","3 June 2019","Porto","174900","","978-303868091-8","","Conference paper","Final","","Scopus","2-s2.0-85088117585"
"Xiong C.; Ceja C.R.; Ludwig C.J.H.; Franconeri S.","Xiong, Cindy (57211998174); Ceja, Cristina R. (57211999613); Ludwig, Casimir J.H. (7102652103); Franconeri, Steven (6603307356)","57211998174; 57211999613; 7102652103; 6603307356","Biased Average Position Estimates in Line and Bar Graphs: Underestimation, Overestimation, and Perceptual Pull","2020","IEEE Transactions on Visualization and Computer Graphics","26","1","8805427","301","310","9","24","10.1109/TVCG.2019.2934400","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075640221&doi=10.1109%2fTVCG.2019.2934400&partnerID=40&md5=b38651f6ef62ef6d24fc4d75efb6d45e","In visual depictions of data, position (i.e., the vertical height of a line or a bar) is believed to be the most precise way to encode information compared to other encodings (e.g., hue). Not only are other encodings less precise than position, but they can also be prone to systematic biases (e.g., color category boundaries can distort perceived differences between hues). By comparison, position's high level of precision may seem to protect it from such biases. In contrast, across three empirical studies, we show that while position may be a precise form of data encoding, it can also produce systematic biases in how values are visually encoded, at least for reports of average position across a short delay. In displays with a single line or a single set of bars, reports of average positions were significantly biased, such that line positions were underestimated and bar positions were overestimated. In displays with multiple data series (i.e., multiple lines and/or sets of bars), this systematic bias still persisted. We also observed an effect of 'perceptual pull', where the average position estimate for each series was 'pulled' toward the other. These findings suggest that, although position may still be the most precise form of visual data encoding, it can also be systematically biased. © 1995-2012 IEEE.","bar graphs; cue combination; line graphs; perception and cognition; Perceptual biases; position estimation","Encoding (symbols); Graph theory; Signal encoding; Bar graphs; Cue combination; Line graph; Perception and cognition; Perceptual biases; Position estimation; article; empiricism; statistical bias; Data visualization","IEEE Computer Society","","","","","","10772626","","ITVGE","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85075640221"
"Hohl W.","Hohl, Wolfgang (57194174449)","57194174449","Game-based learning - Developing a business game for interactive architectural visualization","2019","2019 11th International Conference on Virtual Worlds and Games for Serious Applications, VS-Games 2019 - Proceedings","","","8864595","1DUUMY","","","6","10.1109/VS-Games.2019.8864595","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074293138&doi=10.1109%2fVS-Games.2019.8864595&partnerID=40&md5=8bb4426b463ba7c78b6ed0faac96873f","We explored how game-based learning including open forms of teaching can improve teamwork, social skills and collaboration of inhomogeneous student groups. As open forms of teaching we used blended learning, open space technology (OST) and selected elements of gamification. Game-based learning approaches posit that learners who interact with educational materials with playful and dynamic tasks will learn better. To better understand improvement of teamwork, social skills and collaboration a specific business game with a defined amount of play tokens is introduced. Within this business game all participants (n = 22) will have to form interdisciplinary project teams to manage a professional 3D-visualization task. In three subsequent project stages (concept, development and implementation) all projects are continually evaluated and the teams are appropriately rewarded with play tokens. With these play tokens every team can purchase missing know-how or hire additional workforce. The final visualization project is evaluated by specific design criteria (qualitative) and by the remaining amount of play tokens (quantitative). The concept of a business game was a visible success. Open forms of teaching, such as blended learning and open space technology promote the active acquisition of basic knowledge, technical understanding and at least increase transfer competence. A continuous and transparent evaluation makes the individual learning progress directly tangible. Students who took part in the business game reported more enjoyment in learning the 3D visualization pipeline than students from the years before. The business game induced greater interest to the students in acquiring new content more easily and quickly than in the other courses. Also their high degree of personal responsibility led to outstanding new ideas and their own initiatives. © 2019 IEEE.","Collaborative learning; Computer games; Game-based learning; Participatory design; Virtual reality","Curricula; Interactive computer graphics; Students; Technology transfer; Three dimensional computer graphics; Virtual reality; Visualization; Collaborative learning; Educational materials; Game-based Learning; Individual learning; Interdisciplinary project; Participatory design; Personal responsibility; Technical understanding; Computer games","Institute of Electrical and Electronics Engineers Inc.","H2020 iMareCulture; H2020 Terpsichore; H2020 VIMM; HCI Lab at Masaryk University","11th International Conference on Virtual Worlds and Games for Serious Applications, VS-Games 2019","4 September 2019 through 6 September 2019","Vienna","152783","","978-153867123-8","","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85074293138"
"Sitompul T.A.; Lindell R.; Wallmyr M.; Siren A.","Sitompul, Taufik Akbar (57211169254); Lindell, Rikard (55630680600); Wallmyr, Markus (56902583400); Siren, Antti (57218917959)","57211169254; 55630680600; 56902583400; 57218917959","Presenting information closer to mobile crane operators' line of sight: Designing and evaluating visualization concepts based on transparent displays","2020","Proceedings - Graphics Interface","2020-May","","","","","","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090761923&partnerID=40&md5=d206be6f68e1a32b2e52a750dc51e497","We have investigated the visualization of safety information for mobile crane operations utilizing transparent displays, where the information can be presented closer to operators' line of sight with minimum obstruction on their view. The intention of the design is to help operators in acquiring supportive information provided by the machine, without requiring them to divert their attention far from operational areas. We started the design process by reviewing mobile crane safety guidelines to determine which information that operators need to know in order to perform safe operations. Using the findings from the safety guidelines review, we then conducted a design workshop to generate design ideas and visualisation concepts, as well as to delineate their appearances and behaviour based on the capability of transparent displays. We transformed the results of the workshop to a low-fidelity paper prototype, and then interviewed six mobile crane operators to obtain their feedback on the proposed concepts. The results of the study indicate that, as information will be presented closer to operators' line of sight, we need to be selective on what kind of information and how much information that should be presented to operators. However, all the operators appreciated having information presented closer to their line of sight, as an approach that has the potential to improve safety in their operations. © 2020 Canadian Information Processing Society. All rights reserved.","Human-centered computing-Visualization-Visualization application domains-Information visualization; Visualization design and evaluation methods","Design; Visualization; Design workshops; Operational area; Paper prototypes; Presenting informations; Safe operation; Safety guidelines; Safety information; Transparent displays; Cranes","Canadian Information Processing Society","Canadian Human-Computer Communications Society (CHCCS) / Societe Canadienne du Dialogue Humain-Machine (CHCCS/SCDHM); University of Toronto","Graphics Interface 2020, GI 2020","28 May 2020 through 29 May 2020","Toronto, Virtual, Online","161930","07135424","","PGINE","Conference paper","Final","","Scopus","2-s2.0-85090761923"
"Fala N.; Marais K.","Fala, Nicoletta (57164785600); Marais, Karen (6507783865)","57164785600; 6507783865","Assessing potential biases in risk perception for general aviation pilots","2019","AIAA Aviation 2019 Forum","","","","1","10","9","5","10.2514/6.2019-3443","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099442836&doi=10.2514%2f6.2019-3443&partnerID=40&md5=0408bde0b8753fecb9244454c7ec2470","In 2017, General Aviation (GA) in the United States was responsible for 990 non-commercial fixed-wing accidents—157 of them fatal. One way to improve safety is through improved training and flight visualization. The introduction of Electronic Flight Bag (EFB) applications to the flight deck has allowed post-flight visualization and debrief tools to emerge in an attempt to provide pilots with more information about their flights. While we could assume that safety-driven post-flight feedback that alerts pilots to potentially hazardous situations can facilitate risk management in subsequent flights, it is not clear how the way we present feedback affects how pilots perceive it, or what the best way to present it is. In this paper, we develop different ways of presenting pilots with safety-driven information, informed by the literature on risk assessment and cognitive biases, and design a survey to identify potential implications of communicating risk to pilots in different ways. © 2019, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.","","Civil aviation; Risk assessment; Risk management; Risk perception; Safety engineering; Visualization; Cognitive bias; Electronic flight bag; Flight decks; General aviation; Fixed wings","American Institute of Aeronautics and Astronautics Inc, AIAA","","AIAA Aviation 2019 Forum","17 June 2019 through 21 June 2019","Dallas","228939","","978-162410589-0","","Conference paper","Final","","Scopus","2-s2.0-85099442836"
"Yan S.; Wu G.","Yan, Shaomin (7401744517); Wu, Guang (55321895500)","7401744517; 55321895500","Implications of carbohydrate binding modules of cellulases summarized from visualization","2020","International Conference on Transparent Optical Networks","2020-July","","9203350","","","","1","10.1109/ICTON51198.2020.9203350","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092509072&doi=10.1109%2fICTON51198.2020.9203350&partnerID=40&md5=0fe9a373bf06adb16fbdf7fbee0ff584","Cellulase is an important enzyme in biotechnology, and has signal domain, catalytic domain, carbohydrate binding module (CBM) and linker. CBM helps the association of soluble cellulases with insoluble cellulose in cellulosic hydrolysis. We review the visualizations of CBM from three aspects: CBM adsorption to cellulose, CBM occupying space in cellulose and cellulose surface accessibility to CBM. Our review reveals: the most effective crystal faces are 220 and 220 for cellulose; cellulase is more efficient to catalyze the cellulose with at least 50 cellobioses; and a bunch of celluloses can be stratified into not only traditional amorphous and crystalline regions, but also disordered/dislocated region, and each region is subject to a specific type of CBM. Our review implies: cellulases usually approach cellulose through 100, 110 and 010 crystal faces although β-1, 4-glycosidic bond is located near to crystal faces 220 and 220; and it requires the small sized cellulases to access to fragment of cellulose because cellulases appear much larger for cellulose smaller than 50 cellobioses.  © 2020 IEEE.","Carbohydrate binding module; Cellulase; Cellulose; Microscopy; Visualization","Accessibility; Binding; Cellulase; Cellulose; Chemical Bonds; Crystalline Regions; Review; Surfaces; Carbohydrates; Crystals; Fiber optic networks; Transparent optical networks; Visualization; Carbohydrate-binding modules; Catalytic domains; Cellulose surfaces; Crystal face; Crystalline regions; Signal domain; Cellulose","IEEE Computer Society","European Optical Society (EOS) Italian Branch; Societa Italiana di Ottica e Fotonica (SIOF)","22nd International Conference on Transparent Optical Networks, ICTON 2020","19 July 2020 through 23 July 2020","Bari","163275","21627339","978-172818423-4","","Conference paper","Final","","Scopus","2-s2.0-85092509072"
