"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Trust visualization for object management in Internet of Things","H. Oh; S. Ahn; J. K. Choi; J. Yang","KAIST, School of Electrical Engineering, Daejeon, Republic of Korea; KAIST, School of Electrical Engineering, Daejeon, Republic of Korea; KAIST, School of Electrical Engineering, Daejeon, Republic of Korea; Department of Information and Communication Engineering, KAIST, Daejeon, Republic of Korea",2016 IEEE 5th Global Conference on Consumer Electronics,"29 Dec 2016","2016","","","1","2","This paper proposed trust visualization for object management in Internet of Things environment. Based on the proposed system, trust based object visualization methods are introduced. Actual implementation shows that graph-based trust visualization helps user perceptions to handle various related objects.","","978-1-5090-2333-2","10.1109/GCCE.2016.7800335","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7800335","Trust;Visualization;Internet of Things","","","2","","5","IEEE","29 Dec 2016","","","IEEE","IEEE Conferences"
"Visualizing SVG Mobile Web Services for a Trust Network","S. Mohammed; J. Fiaidhi; M. Lam","Department of Computer Science, Lakehead University, Thunder Bay, ONT, Canada; Department of Computer Science, Lakehead University, Thunder Bay, ONT, Canada; Department of Computer Science, Lakehead University, Thunder Bay, ONT, Canada",Geometric Modeling and Imaging (GMAI '07),"16 Jul 2007","2007","","","19","24","The widespread availability of World Wide Web gives the opportunities for delivering spatial data over the Internet as well as small mobile devices. In this paper we developed a scalable vector graphics (SVG) as Web services and presented a platform for the direct consumption of SVG Web services by a Mobile J2ME Stations. We give an architectural solution where Apache Axis plays the role of trusted third parties supplying service credentials that allow a safe visualization of SVG images.","","0-7695-2901-1","10.1109/GMAI.2007.33","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4271715","Web Services;TinyLine SVG;Trust;Network;Mobile Computing;Visualization.","Visualization;Web services;Mobile computing;Pervasive computing;XML;Web and internet services;Mobile agents;Mobile handsets;Network servers;Multimedia systems","","1","","","IEEE","16 Jul 2007","","","IEEE","IEEE Conferences"
"XTM collaborative argumentation-based trust assessment for layered sensing environments","D. Schiavone; E. Loomis; J. McCracken",Design Knowledge Company; Design Knowledge Company; Design Knowledge Company,2008 International Symposium on Collaborative Technologies and Systems,"17 Jun 2008","2008","","","83","87","The air force research laboratory's (AFRL) collaborative, trusted sensing research and development is critical to providing the warfighter much-needed universal situational awareness (USA). USA requires many different capabilities including the ability to rapidy correlate sensor data and provide at-a-glance decision support tools that provide a means to rapidly assess sensor web trustworthiness and overall system health/status. The design knowledge company (TDKC) is currently developing the XTM collaborative argumentation toolkit (XCAT) for the AFRL's Sensor Directorate. XCAT will provide a next-generation capability to manage sensor data streams, parameterize sensor network quality of service and level of trust, and correlate the sensor information with other intelligence data. XCAT will also provide argumentation tools to assist with decision making and course-of-action selections.","","978-1-4244-2248-7","10.1109/CTS.2008.4543916","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4543916","Collaborative environements;trusted layered sensing;decision support;arugmentation;visualization","Collaboration;Intelligent sensors;Sensor systems;Force sensors;Laboratories;Research and development;Collaborative tools;Next generation networking;Quality management;Quality of service","","","","7","IEEE","17 Jun 2008","","","IEEE","IEEE Conferences"
"RMExplorer: A Visual Analytics Approach to Explore the Performance and the Fairness of Disease Risk Models on Population Subgroups","B. C. Kwon; U. Kartoun; S. Khurshid; M. Yurochkin; S. Maity; D. G. Brockman; A. V. Khera; P. T. Ellinor; S. A. Lubitz; K. Ng",IBM Research; IBM Research; IBM Research; IBM Research; Broad Institute; University of Michigan; University of Michigan; University of Michigan; University of Michigan; IBM Research,2022 IEEE Visualization and Visual Analytics (VIS),"14 Dec 2022","2022","","","50","54","Disease risk models can identify high-risk patients and help clinicians provide more personalized care. However, risk models de-veloped on one dataset may not generalize across diverse subpop-ulations of patients in different datasets and may have unexpected performance. It is challenging for clinical researchers to inspect risk models across different subgroups without any tools. Therefore, we developed an interactive visualization system called RMExplorer (Risk Model Explorer) to enable interactive risk model assessment. Specifically, the system allows users to define subgroups of patients by selecting clinical, demographic, or other characteristics, to ex-plore the performance and fairness of risk models on the subgroups, and to understand the feature contributions to risk scores. To demonstrate the usefulness of the tool, we conduct a case study, where we use RMExplorer to explore three atrial fibrillation risk models by applying them to the UK Biobank dataset of 445,329 individuals. RMExplorer can help researchers to evaluate the performance and biases of risk models on subpopulations of interest in their data.","2771-9553","978-1-6654-8812-9","10.1109/VIS54862.2022.00019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9973226","visual analytics;health informatics;fairness;subgroup analysis;explainability;interpretability;electronic health records;Human-centered computing;Visualization","Analytical models;Biological system modeling;Visual analytics;Computational modeling;Sociology;Data visualization;Atrial fibrillation","","2","","30","IEEE","14 Dec 2022","","","IEEE","IEEE Conferences"
"Selection Bias Tracking and Detailed Subset Comparison for High-Dimensional Data","D. Borland; W. Wang; J. Zhang; J. Shrestha; D. Gotz","RENCI, University of North Carolina, Chapel Hill; School of Information and Library Science, University of North Carolina, Chapel Hill; Dept. of Biostatistics, University of North Carolina, Chapel Hill; Dept. of Computer Science, University of North Carolina, Chapel Hill; School of Information and Library Science, University of North Carolina, Chapel Hill",IEEE Transactions on Visualization and Computer Graphics,"25 Nov 2019","2020","26","1","429","439","The collection of large, complex datasets has become common across a wide variety of domains. Visual analytics tools increasingly play a key role in exploring and answering complex questions about these large datasets. However, many visualizations are not designed to concurrently visualize the large number of dimensions present in complex datasets (e.g. tens of thousands of distinct codes in an electronic health record system). This fact, combined with the ability of many visual analytics systems to enable rapid, ad-hoc specification of groups, or cohorts, of individuals based on a small subset of visualized dimensions, leads to the possibility of introducing selection bias–when the user creates a cohort based on a specified set of dimensions, differences across many other unseen dimensions may also be introduced. These unintended side effects may result in the cohort no longer being representative of the larger population intended to be studied, which can negatively affect the validity of subsequent analyses. We present techniques for selection bias tracking and visualization that can be incorporated into high-dimensional exploratory visual analytics systems, with a focus on medical data with existing data hierarchies. These techniques include: (1) tree-based cohort provenance and visualization, including a user-specified baseline cohort that all other cohorts are compared against, and visual encoding of cohort “drift”, which indicates where selection bias may have occurred, and (2) a set of visualizations, including a novel icicle-plot based visualization, to compare in detail the per-dimension differences between the baseline and a user-specified focus cohort. These techniques are integrated into a medical temporal event sequence visual analytics tool. We present example use cases and report findings from domain expert user interviews.","1941-0506","","10.1109/TVCG.2019.2934209","National Science Foundation(grant numbers:1704018); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8807213","High-dimensional visualization;visual analytics;cohort selection;medical informatics;selection bias","Data visualization;Visual analytics;Encoding;Tools;Complexity theory;Medical diagnostic imaging","","9","","57","IEEE","20 Aug 2019","","","IEEE","IEEE Journals"
"Visualizing Transaction Context in Trust and Reputation Systems","J. Sänger; G. Pernul","Department of Information Systems, University of Regensburg, Regensburg, Germany; Department of Information Systems, University of Regensburg, Regensburg, Germany","2014 Ninth International Conference on Availability, Reliability and Security","11 Dec 2014","2014","","","94","103","Transaction context is an important aspect that should be taken into account for reputation-based trust assessment, because referrals are bound to the situation-specific context in which they were created. The non-consideration of transaction context may cause several threats such as the value imbalance problem. Exploiting this weakness, a seller can build high reputation by selling cheap products while cheating on the expensive ones. In the recent years, multiple approaches have been introduced that address this challenge. All of them chose metrics leading to numerical reputation values. These values, however, are non-transparent and quite hard to understand for the end-user. In this work, in contrast, we combine reputation assessment and visual analytics to provide an interactive visualization of multivariate reputation data. We thereby allow the user to analyze the data sets and draw conclusions by himself. In this way, we enhance transparency, involve the user in the evaluation process and as a consequence increase the users' trust in the reputation system.","","978-1-4799-4223-7","10.1109/ARES.2014.19","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6980268","trust;reputation;context;transaction context;context-awareness;visual analytics;visualization;parallel coordinates","Context;Data visualization;Visual analytics;Biological system modeling;Context modeling;Measurement;Electronic commerce","","5","","29","IEEE","11 Dec 2014","","","IEEE","IEEE Conferences"
"From Invisible to Visible: Impacts of Metadata in Communicative Data Visualization","A. Burns; C. Lee; T. On; C. Xiong; E. Peck; N. Mahyar","Mount Holyoke College, South Hadley, MA, USA; University of Massachusetts Amherst, Amherst, MA, USA; University of Massachusetts Amherst, Amherst, MA, USA; University of Massachusetts Amherst, Amherst, MA, USA; Bucknell University, Lewisburg, PA, USA; University of Massachusetts Amherst, Amherst, MA, USA",IEEE Transactions on Visualization and Computer Graphics,"27 Jun 2024","2024","30","7","3427","3443","Leaving the context of visualizations invisible can have negative impacts on understanding and transparency. While common wisdom suggests that recontextualizing visualizations with metadata (e.g., disclosing the data source or instructions for decoding the visualizations’ encoding) may counter these effects, the impact remains largely unknown. To fill this gap, we conducted two experiments. In Experiment 1, we explored how chart type, topic, and user goal impacted which categories of metadata participants deemed most relevant. We presented 64 participants with four real-world visualizations. For each visualization, participants were given four goals and selected the type of metadata they most wanted from a set of 18 types. Our results indicated that participants were most interested in metadata which explained the visualization's encoding for goals related to understanding and metadata about the source of the data for assessing trustworthiness. In Experiment 2, we explored how these two types of metadata impact transparency, trustworthiness and persuasiveness, information relevance, and understanding. We asked 144 participants to explain the main message of two pairs of visualizations (one with metadata and one without); rate them on scales of transparency and relevance; and then predict the likelihood that they were selected for a presentation to policymakers. Our results suggested that visualizations with metadata were perceived as more thorough than those without metadata, but similarly relevant, accurate, clear, and complete. Additionally, we found that metadata did not impact the accuracy of the information extracted from visualizations, but may have influenced which information participants remembered as important or interesting.","1941-0506","","10.1109/TVCG.2022.3231716","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9998319","Metadata;trust;transparency;understanding;visualization","Data visualization;Metadata;Encoding;Soft sensors;Stakeholders;Organizations;Data mining","","6","","104","IEEE","23 Dec 2022","","","IEEE","IEEE Journals"
"An Interactive Approach to Bias Mitigation in Machine Learning","H. Wang; S. Mukhopadhyay; Y. Xiao; S. Fang","Department of Computer & Information Science, Indiana University Purdue University, Indianapolis; Department of Computer & Information Science, Indiana University Purdue University, Indianapolis; School of Social Work, Indiana University; Department of Computer & Information Science, Indiana University Purdue University, Indianapolis",2021 IEEE 20th International Conference on Cognitive Informatics & Cognitive Computing (ICCI*CC),"4 Jul 2022","2021","","","199","205","Underrepresentation and misrepresentation of protected groups in the training data is a significant source of bias for Machine Learning (ML) algorithms, resulting in decreased confidence and trustworthiness of the generated ML models. Such bias can be mitigated by incorporating both objective as well as subjective (through human users) measures of bias, and compensating for them by means of a suitable selection algorithm over subgroups of training data. In this paper, we propose a methodology of integrating bias detection and mitigation strategies through interactive visualization of machine learning models in selected protected spaces. In this approach, a (partially generated) ML model performance is visualized and evaluated by a human user or a community of human users in terms of potential presence of bias using both objective and subjective criteria. Guided by such human feedback, the ML algorithm can implement a variety of remedial sampling strategies to mitigate the bias using an iterative human-in-the-loop approach. We also provide experimental results with a benchmark ML dataset to demonstrate that such an interactive ML approach holds considerable promise in detecting and mitigating bias in ML models.","","978-1-6654-2119-5","10.1109/ICCICC53683.2021.9811333","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9811333","fairness;bias;machine learning;visualization;human-computer interaction","Machine learning algorithms;Training data;Data visualization;Machine learning;Benchmark testing;Predictive models;Iterative algorithms","","3","","48","IEEE","4 Jul 2022","","","IEEE","IEEE Conferences"
"How Do Algorithmic Fairness Metrics Align with Human Judgement? A Mixed-Initiative System for Contextualized Fairness Assessment","R. Constantin; M. Dück; A. Alexandrov; P. Matošević; D. Keidar; M. El-Assady","ETH Zürich, Switzerland; ETH Zürich, Switzerland; ETH Zürich, Switzerland; ETH Zürich, Switzerland; ETH Zürich, Switzerland; ETH Zürich, Switzerland",2022 IEEE Workshop on TRust and EXpertise in Visual Analytics (TREX),"16 Dec 2022","2022","","","1","7","Fairness evaluation presents a challenging problem in machine learning, and is usually restricted to the exploration of various metrics that attempt to quantify algorithmic fairness. However, due to cultural and perceptual biases, such metrics are often not powerful enough to accurately capture what people perceive as fair or unfair. To close the gap between human judgement and automated fairness evaluation, we develop a mixed-initiative system named FairAlign, where laypeople assess the fairness of different classification models by analyzing expressive and interactive visualizations of data. Using the aggregated qualitative feedback, data scientists and machine learning experts can examine the similarities and the differences between predefined fairness metrics and human judgement in a contextualized setting. To validate the utility of our system, we conducted a small study on a socially relevant classification task, where six people were asked to assess the fairness of multiple prediction models using the provided visualizations. The results show that our platform is able to give valuable guidance for model evaluation in case of otherwise contradicting and indecisive metrics for algorithmic fairness.","","978-1-6654-9356-7","10.1109/TREX57753.2022.00005","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9974353","Algorithmic-fairness;Fairness-assessment;FairAlign;Visual-analytics-system;Human-judgement;Mixed-initiative;Contextualized-fairness","Measurement;Analytical models;Visual analytics;Machine learning;Predictive models;Prediction algorithms;Data models","","1","","36","IEEE","16 Dec 2022","","","IEEE","IEEE Conferences"
"Computational Offloading for Efficient Trust Management in Pervasive Online Social Networks Using Osmotic Computing","V. Sharma; I. You; R. Kumar; P. Kim","Department of Information Security Engineering, Soonchunhyang University, Asan-si, South Korea; Department of Information Security Engineering, Soonchunhyang University, Asan-si, South Korea; Computer Science and Engineering Department, Thapar University, Patiala, India; Department of Computer Engineering, Chosun University, Gwangju, South Korea",IEEE Access,"20 May 2017","2017","5","","5084","5103","Pervasive social networking (PSN) aims at bridging the gap between the services and users by providing a platform for social communication irrespective of the time and location. With the advent of a new era of high-speed telecommunication services, mobile users have evolved to a large extent demanding secure, private, and trustworthy services. Online social networks have evolved as pervasive online social networks (POSNs), which uses a common platform to connect users from hybrid applications. Trust has always been a concern for these networks. However, existing approaches tend to provide application-specific trust management, thus resulting in the cost of excessive network resource utilization and high computations. In this paper, a pervasive trust management framework is presented for POSNs, which is capable of generating high trust value between the users with a lower cost of monitoring. The proposed approach uses a flexible mixture model to develop the system around six different properties, and then utilizes the concept of osmotic computing to perform computational offloading, which reduces the number of computations as well as computational time. The novel concepts of lock door policy and intermediate state management procedure are used to allow trust visualization by providing efficient identification of trustworthy and untrustworthy users. The proposed approach is capable of predicting user ratings efficiently with extremely low errors, which are in the range of ±2. The effectiveness of the proposed approach is demonstrated using theoretical and numerical analyses along with data set-based simulations.","2169-3536","","10.1109/ACCESS.2017.2683159","Human Resource Training Program for Regional Innovation and Creativity through the Ministry of Education and National Research Foundation of Korea(grant numbers:NRF-2014H1C1A1073115); Soonchunhyang University Research Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7883896","Pervasive social networks;online social networks;trust management;osmotic computing;trust visualization","Social network services;Monitoring;Mobile communication;Peer-to-peer computing;Mixture models;Reliability;Mathematical model","","38","","32","OAPA","21 Mar 2017","","","IEEE","IEEE Journals"
"Mining Revision History to Assess Trustworthiness of Article Fragments","H. Zeng; M. A. Alhossaini; R. Fikes; D. L. McGuinness","Knowledge Systems, Al Lab, Department of Computer Science, University of Stanford, USA; Knowledge Systems, Al Lab, Department of Computer Science, University of Stanford, USA; Knowledge Systems, Al Lab, Department of Computer Science, University of Stanford, USA; Knowledge Systems, Al Lab, Department of Computer Science, University of Stanford, USA","2006 International Conference on Collaborative Computing: Networking, Applications and Worksharing","21 May 2007","2006","","","1","10","Wikis are a type of collaborative repository system that enables users to create and edit shared content on the Web. The popularity and proliferation of Wikis have created a new set of challenges for trust research because the content in a Wiki can be contributed by a wide variety of users and can change rapidly. Nevertheless, most Wikis lack explicit trust management to help users decide how much they should trust an article or a fragment of an article. In this paper, we investigate the dynamic nature of revisions as we explore ways of utilizing revision history to develop an article fragment trust model. We use our model to compute trustworthiness of articles and article fragments. We also augment Wikis with a trust view layer with which users can visually identify text fragments of an article and view trust values computed by our model","","1-4244-0428-2","10.1109/COLCOM.2006.361890","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4207562","Mining Revision History;Trust Computation;Trust Visualization;Wiki;Wikipedia","History;Wikipedia;Collaboration;Visualization;Knowledge based systems;Computer science;Bayesian methods;Encyclopedias;Natural languages;Computer vision","","13","","19","IEEE","21 May 2007","","","IEEE","IEEE Conferences"
"GeoSpatial-temporal analytics to gain insight from linked open data","M. Donovang-Kuhlisch; M. Small","IBM Deutschland GmbH, Bonn, Germany; IBM UK Limited, Farnborough Hants, UK",2011 17th International Conference on Concurrent Enterprising,"10 Oct 2011","2011","","","1","12","Collective endeavours, operating in an environment of efficient collaboration and informed decision making in a value network, bear the only effective way to meet the challenges and threats we face in this modern, interconnected world. Enhanced inter-agency and inter-company communication and collaboration has been defined as the capability to deliver information superiority when required to enable agile and informed decision making to underpin effects-based operations: delivering the right effect, at the right time, to achieve the outcome required. Challenges and threats in our modern world are global and multi-faceted requiring complex responses: governments and corporations buoyed by the realization that the interests of both are mutually engage, are pursuing joint corporate social responsibility to make life and business conduct safe and sustainable. One outcome is increasing openness: organisations increasingly publish data and knowledge in open formats and open spaces and (others) provide tools to gain insight from this open and accessible data. This case study summarizes the technological state-of-the-art and points the way how value networks can benefit from these digital society trends.","","978-3-943024-05-0","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6041234","Linked Open Data;Visual Analytics;Corporate Social Responsibility;Smarter Planet","Cities and towns;Government;Ice;Decision making;Planets;Europe","","","1","12","","10 Oct 2011","","","IEEE","IEEE Conferences"
"Ethical Considerations of Artificial Intelligence: Ensuring Fairness, Transparency, and Explainability","H. Abbu; P. Mugge; G. Gudergan","Business Analytics Initiative, Poole College of Management, North Carolina State University, Raleigh, NC; Business Analytics Initiative, Poole College of Management, North Carolina State University, Raleigh, NC; FIR Institute for Industrial Management, RWTH Aachen University, Aachen, Germany","2022 IEEE 28th International Conference on Engineering, Technology and Innovation (ICE/ITMC) & 31st International Association For Management of Technology (IAMOT) Joint Conference","10 Feb 2023","2022","","","1","7","Many digital leaders are currently dealing with expanding into the highly sought-after “holy grail” of digitization by deploying Artificial Intelligence (AI) solutions. While AI projects of all types are being launched prolifically, clouds of doubt are forming around the credibility of AI results. AI has many potential benefits for businesses, but these will be realized only if people trust these tools to produce unbiased results. Managing transformation in the digital age requires leaders who not only understand the potential of these tools but also possess the necessary human skills to reshape the organization. This paper addresses one particular human dimension in some depthethical AI-and the actions successful digital leaders take to build trust in its results. It introduces a conceptual model of ethical AI considerations to ensure the use of this potentially lucrative, yet disruptive technology is indeed fair, explainable, and productive.","","978-1-6654-8817-4","10.1109/ICE/ITMC-IAMOT55089.2022.10033140","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10033140","Digital transformation;digital leadership;digital innovation;ethical AI;visual analytics;storytelling;trust","Ethics;Privacy;Leadership;Visual analytics;Standardization;Data models;Artificial intelligence","","6","","26","IEEE","10 Feb 2023","","","IEEE","IEEE Conferences"
"The Anchoring Effect in Decision-Making with Visual Analytics","I. Cho; R. Wesslen; A. Karduni; S. Santhanam; S. Shaikh; W. Dou",University of North Carolina at Charlotte; University of North Carolina at Charlotte; University of North Carolina at Charlotte; University of North Carolina at Charlotte; University of North Carolina at Charlotte; University of North Carolina at Charlotte,2017 IEEE Conference on Visual Analytics Science and Technology (VAST),"23 Dec 2018","2017","","","116","126","Anchoring effect is the tendency to focus too heavily on one piece of information when making decisions. In this paper, we present a novel, systematic study and resulting analyses that investigate the effects of anchoring effect on human decision-making using visual analytic systems. Visual analytics interfaces typically contain multiple views that present various aspects of information such as spatial, temporal, and categorical. These views are designed to present complex, heterogeneous data in accessible forms that aid decision-making. However, human decision-making is often hindered by the use of heuristics, or cognitive biases, such as anchoring effect. Anchoring effect can be triggered by the order in which information is presented or the magnitude of information presented. Through carefully designed laboratory experiments, we present evidence of anchoring effect in analysis with visual analytics interfaces when users are primed by representation of different pieces of information. We also describe detailed analyses of users’ interaction logs which reveal the impact of anchoring bias on the visual representation preferred and paths of analysis. We discuss implications for future research to possibly detect and alleviate anchoring bias.","","978-1-5386-3163-8","10.1109/VAST.2017.8585665","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8585665","Visual Analytics;Anchoring Effect;Sense Making;Cognitive Bias;Interaction Log Analysis;K.6.1 [Management of Computing and Information Systems]: Project and People Management-Life Cycle;K.7.m [The Computing Profession]: Miscellaneous-Ethics","Decision making;Visual analytics;Analytical models;Task analysis;Data visualization;Uncertainty","","44","","46","IEEE","23 Dec 2018","","","IEEE","IEEE Conferences"
"Beyond Visual Analytics: Human-Machine Teaming for AI-Driven Data Sensemaking","J. Wenskovitch; C. Fallon; K. Miller; A. Dasgupta",Pacific Northwest National Laboratory; Pacific Northwest National Laboratory; Pacific Northwest National Laboratory; New Jersey Institute of Technology,2021 IEEE Workshop on TRust and EXpertise in Visual Analytics (TREX),"26 Nov 2021","2021","","","40","44","Detect the expected, discover the unexpected was the founding principle of the field of visual analytics. This mantra implies that human stakeholders, like a domain expert or data analyst, could leverage visual analytics techniques to seek answers to known unknowns and discover unknown unknowns in the course of the data sense-making process. We argue that in the era of AI-driven automation, we need to recalibrate the roles of humans and machines (e.g., a machine learning model) as teammates. We posit that by realizing human-machine teams as a stakeholder unit, we can better achieve the best of both worlds: automation transparency and human reasoning efficacy. However, this also increases the burden on analysts and domain experts towards performing more cognitively demanding tasks than what they are used to. In this paper, we reflect on the complementary roles in a human-machine team through the lens of cognitive psychology and map them to existing and emerging research in the visual analytics community. We discuss open questions and challenges around the nature of human agency and analyze the shared responsibilities in human-machine teams.","","978-1-6654-1817-1","10.1109/TREX53765.2021.00012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9619901","Human machine teaming;Sensemaking;Machine Learning;Visual Analytics;Trust;Agency;Transparency","Automation;Visual analytics;Conferences;Psychology;Machine learning;Cognition;Stakeholders","","3","","44","IEEE","26 Nov 2021","","","IEEE","IEEE Conferences"
"Trust in Prediction Models: a Mixed-Methods Pilot Study on the Impact of Domain Expertise","J. Ooge; K. Verbert","Department of Computer Science, KU Leuven; Department of Computer Science, KU Leuven",2021 IEEE Workshop on TRust and EXpertise in Visual Analytics (TREX),"26 Nov 2021","2021","","","8","13","People’s trust in prediction models can be affected by many factors, including domain expertise like knowledge about the application domain and experience with predictive modelling. However, to what extent and why domain expertise impacts people’s trust is not entirely clear. In addition, accurately measuring people’s trust remains challenging. We share our results and experiences of an exploratory pilot study in which four people experienced with predictive modelling systematically explore a visual analytics system with an unknown prediction model. Through a mixed-methods approach involving Likert-type questions and a semi-structured interview, we investigate how people’s trust evolves during their exploration, and we distil six themes that affect their trust in the prediction model. Our results underline the multi-faceted nature of trust, and suggest that domain expertise alone cannot fully predict people’s trust perceptions.","","978-1-6654-1817-1","10.1109/TREX53765.2021.00007","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9619906","visual analytics;trust;expertise;predictive modelling;mixed methods;transparency;explainability;xai","Analytical models;Visual analytics;Conferences;Predictive models;Interviews","","2","","35","IEEE","26 Nov 2021","","","IEEE","IEEE Conferences"
"A Framework for Cognitive Bias Detection and Feedback in a Visual Analytics Environment","A. Nussbaumer; K. Verbert; E. -C. Hillemann; M. A. Bedek; D. Albert","Cognitive Science Section, Knowledge Technologies Institute Graz University of Technology, Austria; Department of Computer Sciecne, Katholieke Universiteit Leuven, Belgium; Cognitive Science Section, Knowledge Technologies Institute Graz University of Technology, Austria; Cognitive Science Section, Knowledge Technologies Institute Graz University of Technology, Austria; Cognitive Science Section, Knowledge Technologies Institute Graz University of Technology, Austria",2016 European Intelligence and Security Informatics Conference (EISIC),"6 Mar 2017","2016","","","148","151","This paper presents a framework that supports the detection and mitigation of cognitive biases in visual analytics environments for criminal analysis. Criminal analysts often use visual analytics environments for their analysis of large data sets, for gaining insights on criminal events and patterns of criminal events, and for drawing conclusions and making decisions. However, due to the nature of human cognition, these cognitive processes may lead to systematic errors, so-called cognitive biases. The most prominent and relevant cognitive bias in the intelligence field is the confirmation bias, in which an analyst disproportionally considers and selects information that supports the initial expectation and hypothesis. The framework presented in this paper describes a model, how the possible occurence of the confirmation bias can be detected automatically, while the analyst makes use of the visual environment. Moreover, based on this information, different feedback methods are employed that support and encourage the mitigation of the confirmation bias. This framework is in a work-in-progress state and contains research objectives and directions, the framework design, initial implementations, plans for further development and integration, as well as user-centric evaluation.","","978-1-5090-2857-3","10.1109/EISIC.2016.038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7870211","visual analytics;criminal intelligence;cognitive bias","Visual analytics;Data visualization;Systematics;Context;Uncertainty;Software","","10","1","22","IEEE","6 Mar 2017","","","IEEE","IEEE Conferences"
"FAIRVIS: Visual Analytics for Discovering Intersectional Bias in Machine Learning","Á. A. Cabrera; W. Epperson; F. Hohman; M. Kahng; J. Morgenstern; D. H. Chau",Georgia Institute of Technology; Georgia Institute of Technology; Georgia Institute of Technology; Georgia Institute of Technology; Georgia Institute of Technology; Georgia Institute of Technology,2019 IEEE Conference on Visual Analytics Science and Technology (VAST),"10 Feb 2020","2019","","","46","56","The growing capability and accessibility of machine learning has led to its application to many real-world domains and data about people. Despite the benefits algorithmic systems may bring, models can reflect, inject, or exacerbate implicit and explicit societal biases into their outputs, disadvantaging certain demographic subgroups. Discovering which biases a machine learning model has introduced is a great challenge, due to the numerous definitions of fairness and the large number of potentially impacted subgroups. We present FAIRVIS, a mixed-initiative visual analytics system that integrates a novel subgroup discovery technique for users to audit the fairness of machine learning models. Through FAIRVIS, users can apply domain knowledge to generate and investigate known subgroups, and explore suggested and similar subgroups. FAIRVIS's coordinated views enable users to explore a high-level overview of subgroup performance and subsequently drill down into detailed investigation of specific subgroups. We show how FAIRVIS helps to discover biases in two real datasets used in predicting income and recidivism. As a visual analytics system devoted to discovering bias in machine learning, FAIRVIS demonstrates how interactive visualization may help data scientists and the general public understand and create more equitable algorithmic systems.","","978-1-7281-2284-7","10.1109/VAST47406.2019.8986948","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8986948","Machine learning fairness;visual analytics;intersectional bias;subgroup discovery","","","89","","38","IEEE","10 Feb 2020","","","IEEE","IEEE Conferences"
"Ten Unsolved Problems with the Internet of Things","R. A. Earnshaw; M. de Silva; P. S. Excell","Glyndwr University, Wales, UK; Wrexham Glyndwr University, Wrexham, Clwyd, GB; Glyndwr University, Wales, UK",2015 International Conference on Cyberworlds (CW),"4 Feb 2016","2015","","","1","7","It is estimated that by 2020 that the Internet of Things with embedded and wearable computing will have a major impact on society and be providing beneficial services in a wide variety of applications. It has already accomplished some cost savings in operations and increases in asset efficiency. Increased connectivity and improved safety, security, and reliability are expected to increase potential value in a range of applications from healthcare to transportation. As much of the technology is embedded and invisible it can have the role of a smart assistant working away autonomously and unobtrusively in the background. However, automatic monitoring of activities brings increased potential invasion of personal spaces and personal data. There are significant issues in a number of areas which still have to be addressed in order to ensure safe, reliable and trustworthy systems. A prototype funded by the UK Technology Strategy Board demonstrates the value and advantages of business to business collaboration via the Internet. It also emphasizes the benefits of connectivity and its contribution to sustainability.","","978-1-4673-9403-1","10.1109/CW.2015.28","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7398383","embedded systems;implanted devices;real-time monitoring;big data;trust;security;privacy;latency;open standards;interoperability;visual analytics;predictive analytics;business to business collaboration","Internet of things;Collaboration;Companies;Real-time systems;Monitoring","","3","","30","IEEE","4 Feb 2016","","","IEEE","IEEE Conferences"
