Authors,Title,Year,DOI,Link,Abstract,Keywords,Database,Item Type,Journal,ISSN,Volume,Issue,Pages,Publisher,Notes,Key,Title Points,Abstract Points,Keywords Points,title_normalized,Total Points
Isenberg T.; Salazar Z.; Blanco R.; Plaisant C.,"Do You Believe Your (Social Media) Data? A Personal Story on Location Data Biases, Errors, and Plausibility as Well as Their Visualization",2022,10.1109/TVCG.2022.3141605,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122852020&doi=10.1109%2fTVCG.2022.3141605&partnerID=40&md5=f54885624112f39aff7deb4b06ead952,"We present a case study on a journey about a personal data collection of carnivorous plant species habitats, and the resulting scientific exploration of location data biases, data errors, location hiding, and data plausibility. While initially driven by personal interest, our work led to the analysis and development of various means for visualizing threats to insight from geo-Tagged social media data. In the course of this endeavor we analyzed local and global geographic distributions and their inaccuracies. We also contribute Motion Plausibility Profiles-a new means for visualizing how believable a specific contributor's location data is or if it was likely manipulated. We then compared our own repurposed social media dataset with data from a dedicated citizen science project. Compared to biases and errors in the literature on traditional citizen science data, with our visualizations we could also identify some new types or show new aspects for known ones. Moreover, we demonstrate several types of errors and biases for repurposed social media data. Please note that people with color impairments may consider our alternative paper version.  © 1995-2012 IEEE.",citizen science; data bias; data error; data obfuscation; data plausibility; Flickr; iNaturalist; Panoramio; Social media data;Bias; Computer Graphics; Humans; Social Media; Data mining; Data visualization; Errors; Geographical distribution; Location; Social networking (online); Visualization; Citizen science; Data bias; Data collection; Data errors; Data integrity; Data obfuscation; Data plausibility; Flickr; Image database; Inaturalist; Multimedium web site; Panoramio; Social media datum; Social networking (online); Web-sites; computer graphics; human; social media; statistical bias; Data acquisition,scopus,Article,,10772626,28,9,14.0,IEEE Computer Society,,,14,22,19,do you believe your social media data a personal story on location data biases errors and plausibility as well as their visualization,55
Panagiotidou G.; Poblome J.; Aerts J.; Vande Moere A.,Designing a Data Visualisation for Interdisciplinary Scientists. How to Transparently Convey Data Frictions?,2022,10.1007/s10606-022-09432-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134664163&doi=10.1007%2fs10606-022-09432-9&partnerID=40&md5=f2afca0ed164268900d12e7ccbc64bb9,"This study investigates how the frictions that emerge while synthesising disparate datasets can be transparently conveyed in a single data visualisation. We encountered this need while being embedded in an academic consortium of four epistemologically-distant scientific teams, who wanted to develop new interdisciplinary hypotheses from their merged datasets. By inviting these scientists to collaboratively develop visualisation prototypes of their data within their own and then towards the other disciplines, we uncovered four data frictions that relate to discipline-specific interpretations of data, methodological approaches, ways of handling data uncertainties, as well as the large differences in dataset scale and granularity. We then recognised how the resulting visualisation prototypes contained several promising techniques that addressed these frictions transparently, such as retaining their overall visualisation context and using visual translators to mediate between differing scales. Driven by critical data discourse that calls for frictions to be foregrounded rather than be occluded, we generalised these techniques into a series of actionable design considerations. While originating from a single case of an interdisciplinary collaboration, we believe that our findings form a crucial step towards enabling a more transparent and accountable interdisciplinary data visualisation practice. © 2022, The Author(s), under exclusive licence to Springer Nature B.V.",Critical data visualisation; Data friction; Design activities; Interdisciplinary collaboration; Visualisation for collaboration; Visualisation transparency;Data handling; Data visualization; Large dataset; Visualization; Critical data; Critical data visualization; Data friction; Data uncertainty; Design activity; Interdisciplinary collaborations; Interpretation of data; Methodological approach; Visualization for collaboration; Visualization transparency; Friction,scopus,Article,,09259724,31,4,34.0,Springer Science and Business Media B.V.,,,12,15,23,designing a data visualisation for interdisciplinary scientists how to transparently convey data frictions,50
Arango M.C.; Hogue A.; Williams K.,An Analysis and Visualization of Best Practices for Police Data Transparency,2021,10.1109/SIEDS52267.2021.9483786,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114206235&doi=10.1109%2fSIEDS52267.2021.9483786&partnerID=40&md5=f8da83420d4a4aa7b10760b9d9b1ba33,"The ability to hold police accountable for the actions of officers is contingent upon independent review of data surrounding misconduct. This research identifies gaps in information and useful features to build a guide for policing data collection and analysis for public accountability, based on the practices of other cities around the US. Our primary concern is to obtain actionable and transparent data on police activities and identify recording practices to serve Charlottesville as examples to follow. Prominent challenges include sourcing usable data, judging whether the data were comprehensive, and inconsistencies across datasets that prevented joining, and in turn, limited meaningful data analysis. Our guide also advises Charlottesville of the ethical and methodological considerations when analyzing policing data. The final guide includes: recommendations for sharing data with the public through dashboard visualization, which was informed by a multi-city scrub of open policing data portals; recommendations for feature variables to collect for meaningful analysis; and a multi-city proof-of-concept data dashboard.  © 2021 IEEE.",police data; transparency;Data Sharing; Law enforcement; Visualization; Best practices; Data collection; Data portal; Feature variable; Proof of concept; Public accountability; Data visualization,scopus,Conference paper,,,,,,Institute of Electrical and Electronics Engineers Inc.,,,12,23,15,an analysis and visualization of best practices for police data transparency,50
Fischer M.T.; Hirsbrunner S.D.; Jentner W.; Miller M.; Keim D.A.; Helm P.,Promoting Ethical Awareness in Communication Analysis: Investigating Potentials and Limits of Visual Analytics for Intelligence Applications,2022,10.1145/3531146.3533151,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132968553&doi=10.1145%2f3531146.3533151&partnerID=40&md5=062df6b2d98acfec87b28da3b3e3d3a9,"Digital systems for analyzing human communication data have become prevalent in recent years. This may be related to the increasing abundance of data that can be harnessed but can hardly be managed manually. Intelligence analysis of communications data in investigative journalism, criminal intelligence, and law present particularly interesting cases, as they must take into account the often highly sensitive properties of the underlying operations and data. At the same time, these are areas where increasingly automated, sophisticated approaches and tailored systems can be particularly useful and relevant, especially in terms of Big Data manageability. However, by the shifting of responsibilities, this also poses dangers. In addition to privacy concerns, these dangers relate to uncertain or poor data quality, leading to discrimination and potentially misleading insights. Other problems relate to a lack of transparency and traceability, making it difficult to accurately identify problems and determine appropriate remedial strategies. Visual analytics combines machine learning methods with interactive visual interfaces to enable human sense- and decision-making. This technique can be key for designing and operating meaningful interactive communication analysis systems that consider these ethical challenges. In this interdisciplinary work, a joint endeavor of computer scientists, ethicists, and scholars in Science & Technology Studies, we investigate and evaluate opportunities and risks involved in using Visual analytics approaches for communication analysis in intelligence applications in particular. We introduce, at first, the common technological systems used in communication analysis, with a special focus on intelligence analysis in criminal investigations, further discussing the domain-specific ethical implications, tensions, and risks involved. We then make the case of how tailored Visual Analytics approaches may reduce and mitigate the described problems, both theoretically and through practical examples. Offering interactive analysis capabilities and what-if explorations while facilitating guidance, provenance generation, and bias awareness (through nudges, for example) can improve analysts' understanding of their data, increasing trustworthiness, accountability, and generating knowledge. We show that finding Visual Analytics design solutions for ethical issues is not a mere optimization task with an ideal final solution. Design solutions for specific ethical problems (e.g., privacy) often trigger new ethical issues (e.g., accountability) in other areas. Balancing out and negotiating these trade-offs has, as we argue, to be an integral aspect of the system design process from the outset. Finally, our work identifies existing gaps and highlights research opportunities, further describing how our results can be transferred to other domains. With this contribution, we aim at informing more ethically-aware approaches to communication analysis in intelligence operations. © 2022 Owner/Author.",Communication Analysis; Critical Algorithm Studies; Critical Data Studies; Ethic Awareness; Intelligence Analysis; Interdisciplinary Research; Machine Learning; Science & Technology Studies; Visual Analytics;Balancing; Crime; Data communication systems; Economic and social effects; Ethical technology; Machine learning; Risk assessment; Visualization; Algorithm study; Communication analysis; Critical algorithm study; Critical data; Critical data study; Ethic awareness; Intelligence analysis; Interdisciplinary research; Machine-learning; Science & technology study; Science technologies; Visual analytics; Decision making,scopus,Conference paper,,,,,12.0,Association for Computing Machinery,,,15,27,25,promoting ethical awareness in communication analysis investigating potentials and limits of visual analytics for intelligence applications,67
Mashhadi A.; Zolyomi A.; Quedado J.,A Case Study of Integrating Fairness Visualization Tools in Machine Learning Education,2022,10.1145/3491101.3503568,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129702990&doi=10.1145%2f3491101.3503568&partnerID=40&md5=9775e8a5ecb6ca3890505c9b23e320e2,"As demonstrated by media attention and research, Artificial Intelligence systems are not adequately addressing issues of fairness and bias, and more education on these topics is needed in industry and higher education. Currently, computer science courses that cover AI fairness and bias focus on statistical analysis or, on the other hand, attempt to bring in philosophical perspectives that lack actionable takeaways for students. Based on long-standing pedagogical research demonstrating the importance of using tools and visualizations to reinforce student learning, this case study reports on the impacts of using publicly-available visualization tools used in HCI practice as a resource for students examining algorithmic fairness concepts. Through qualitative review and observations of four focus groups, we examined six open-source fairness tools that enable students to visualize, quantify and explore algorithmic biases. The findings of this study provide insights into the benefits, challenges, and opportunities of integrating fairness tools as part of machine learning education. © 2022 Owner/Author.",Ethics; Fairness; Tools;Education computing; Ethical technology; Machine learning; Visualization; Algorithmics; Artificial intelligence systems; Case-studies; Computer Science course; Fairness; High educations; Machine-learning; Media attention; Media research; Visualization tools; Students,scopus,Conference paper,,,,,,Association for Computing Machinery,,,12,16,22,a case study of integrating fairness visualization tools in machine learning education,50
Hertweck C.; Baumann J.; Loi M.; Heitz C.,FairnessLab: A Consequence-Sensitive Bias Audit and Mitigation Toolkit,2023,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168311084&partnerID=40&md5=0dbc692f209e2afd1e5c38deeaec5e3d,"We introduce the FairnessLab: an open-source toolkit including interactive visualizations to facilitate the development of fair ML-based decision-making systems. Existing bias audit tools usually just offer standard group fairness metrics, which leads to strong restrictions: neither one is morally appropriate in all contexts, and there are contexts in which none of them is morally appropriate. Building on new findings from computer science and philosophy, the FairnessLab provides a much wider range of metrics, and guides users to generate a fairness measure that is morally appropriate for a given context. Thus, the FairnessLab can be used to define context-specific fairness metrics that are sensitive to the consequences experienced by affected individuals [1, 2]. Furthermore, it includes techniques to mitigate unfairness w.r.t. a specified metric. This empowers data scientists and developers to (i) make their moral choices explicit, (ii) derive appropriate fairness metrics that are sensitive to consequences experienced by the individuals affected by the decisions, (iii) navigate the emerging tradeoffs (e.g., between efficiency and fairness of the outcomes). The source code of the FairnessLab is available at https://github.com/joebaumann/FairnessLab and a demo of the interactive web application is available at https://joebaumann.github.io/FairnessLab. © 2023 Copyright for this paper by its authors.",AI audit tool; bias; bias mitigation; ethics; Fairness; trustworthy AI;Artificial intelligence; HTTP; Open source software; Open systems; Visualization; AI audit tool; Audit tools; Bias; Bias mitigation; Decision-making systems; Fairness; Interactive visualizations; Open-source; Standard groups; Trustworthy AI; Decision making,scopus,Conference paper,,16130073,3442,,,CEUR-WS,,,6,21,23,fairnesslab a consequencesensitive bias audit and mitigation toolkit,50
Hou W.; Ji Z.,Unbiased visualization of single-cell genomic data with SCUBI,2022,10.1016/j.crmeth.2021.100135,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123185696&doi=10.1016%2fj.crmeth.2021.100135&partnerID=40&md5=5fdba7d425d0b24b28b1afe4b2c5130e,"Visualizing low-dimensional representations with scatterplots is a crucial step in analyzing single-cell genomic data. However, this visualization has significant biases. The first bias arises when visualizing the gene expression levels or the cell identities. The scatterplot only shows a subset of cells plotted last, and the cells plotted earlier are masked and unseen. The second bias arises when comparing the cell-type compositions across samples. The scatterplot is biased by the unbalanced total number of cells across samples. We developed SCUBI, an unbiased method that visualizes the aggregated information of cells within non-overlapping squares to address the first bias and visualizes the differences of cell proportions across samples to address the second bias. We show that SCUBI presents a more faithful visual representation of the information in a real single-cell RNA sequencing (RNA-seq) dataset and has the potential to change how low-dimensional representations are visualized in single-cell genomic data. © 2021 The Authors","data mining; single-cell genomics; unbiased; visualization;Bias; Gene Expression Profiling; Genomics; Sequence Analysis, RNA; Single-Cell Analysis; CD56 antigen; Article; biological activity; cell composition; cell count; clinical feature; controlled study; coronavirus disease 2019; disease severity; female; gene expression level; gene expression regulation; genetic association; genomics; human; human cell; major clinical study; male; natural killer cell; single cell RNA seq; gene expression profiling; genomics; procedures; RNA sequencing; single cell analysis; statistical bias",scopus,Article,,26672375,2,1,,Cell Press,,,14,22,14,unbiased visualization of singlecell genomic data with scubi,50
Dusi M.; Arici N.; Gerevini A.E.; Putelli L.; Serina I.,Graphical Identification of Gender Bias in BERT with a Weakly Supervised Approach,2022,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143254700&partnerID=40&md5=5fb6324f4007eaaf32c2257def7bf0e7,"Transformer-based algorithms such as BERT are typically trained with large corpora of documents, extracted directly from the Internet. As reported by several studies, these data can contain biases, stereotypes and other properties which are transferred also to the machine learning models, potentially leading them to a discriminatory behaviour which should be identified and corrected. A very intuitive technique for bias identification in NLP models is the visualization of word embeddings. Exploiting the concept of that a short distance between two word vectors means a semantic similarity between these two words; for instance, a closeness between the terms nurse and woman could be an indicator of gender bias in the model. These techniques however were designed for static word embedding algorithms such as Word2Vec. Instead, BERT does not guarantee the same relation between semantic similarity and short distance, making the visualization techniques more difficult to apply. In this work, we propose a weakly supervised approach, which only requires a list of gendered words that can be easily found in online lexical resources, for visualizing the gender bias present in the English base model of BERT. Our approach is based on a Linear Support Vector Classifier and Principal Component Analysis (PCA) and obtains better results with respect to standard PCA. © 2022 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).",BERT; Ethics; Fairness; Gender Bias; Model Interpretability;Embeddings; Semantics; Visualization; BERT; Bias properties; Fairness; Gender bias; Interpretability; Large corpora; Model interpretability; Other properties; Principal-component analysis; Semantic similarity; Principal component analysis,scopus,Conference paper,,16130073,3287,,12.0,CEUR-WS,,,9,22,22,graphical identification of gender bias in bert with a weakly supervised approach,53
Jo J.; Lryi S.; Lee B.; Seo J.,ProReveal: Progressive Visual Analytics with Safeguards,2021,10.1109/TVCG.2019.2962404,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077294114&doi=10.1109%2fTVCG.2019.2962404&partnerID=40&md5=8a08bbc28a5e99af0dd03828a0d2ea5d,"We present a new visual exploration concept-Progressive Visual Analytics with Safeguards-that helps people manage the uncertainty arising from progressive data exploration. Despite its potential benefits, intermediate knowledge from progressive analytics can be incorrect due to various machine and human factors, such as a sampling bias or misinterpretation of uncertainty. To alleviate this problem, we introduce PVA-Guards, safeguards people can leave on uncertain intermediate knowledge that needs to be verified, and derive seven PVA-Guards based on previous visualization task taxonomies. PVA-Guards provide a means of ensuring the correctness of the conclusion and understanding the reason when intermediate knowledge becomes invalid. We also present ProReveal, a proof-of-concept system designed and developed to integrate the seven safeguards into progressive data exploration. Finally, we report a user study with 14 participants, which shows people voluntarily employed PVA-Guards to safeguard their findings and ProReveal's PVA-Guard view provides an overview of uncertain intermediate knowledge. We believe our new concept can also offer better consistency in progressive data exploration, alleviating people's heterogeneous interpretation of uncertainty.  © 1995-2012 IEEE.",hypothesis testing; intermediate knowledge representation; Progressive visual analytics; scalability; uncertainty;Scalability; Taxonomies; Visualization; Data exploration; Hypothesis testing; Potential benefits; Proof of concept; Sampling bias; uncertainty; Visual analytics; Visual exploration; adult; article; clinical article; female; human; human experiment; male; proof of concept; sampling bias; taxonomy; uncertainty; Knowledge representation,scopus,Article,,10772626,27,7,13.0,IEEE Computer Society,,,10,26,25,proreveal progressive visual analytics with safeguards,61
Kawakatsu H.; Yamanaka N.; Kato K.,Visualisation of Change in Employee Morale during Organizational Innovation,2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107186814&partnerID=40&md5=d46d4ef8ab6aa615510909504b1c68b1,Employees' morale is known to depend upon the trust in their management and to have a significant effect on the possibility that organizational change or innovation will be successful. This study first formulates a total employees' morale associated with organizational reform and then develops a simulation model for visualising how employees' (psychological) state changes during organizational reform or innovation. Numerical examples are also presented to demonstrate the behaviour of the employees' states after the manager offers the plan with respect to the new organizational design. © 2019 Newswood Limited. All rights reserved.,Employee morale; Organizational innovation; Trust; Visualisation;Human resource management; Employee morale; Employees state; Organisational; Organizational change; Organizational innovation; Psychological state; Simulation model; States change; Trust; Visualisation of change; Visualization,scopus,Conference paper,,20780958,2240,,4.0,Newswood Limited,,,15,15,27,visualisation of change in employee morale during organizational innovation,57
Wall E.; Blaha L.; Paul C.; Endert A.,A formative study of interactive bias metrics in visual analytics using anchoring bias,2019,10.1007/978-3-030-29384-0_34,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072955167&doi=10.1007%2f978-3-030-29384-0_34&partnerID=40&md5=11bbccfe0e4cc22f84ad1117dcaff8c7,"Interaction is the cornerstone of how people perform tasks and gain insight in visual analytics. However, people’s inherent cognitive biases impact their behavior and decision making during their interactive visual analytic process. Understanding how bias impacts the visual analytic process, how it can be measured, and how its negative effects can be mitigated is a complex problem space. Nonetheless, recent work has begun to approach this problem by proposing theoretical computational metrics that are applied to user interaction sequences to measure bias in real-time. In this paper, we implement and apply these computational metrics in the context of anchoring bias. We present the results of a formative study examining how the metrics can capture anchoring bias in real-time during a visual analytic task. We present lessons learned in the form of considerations for applying the metrics in a visual analytic tool. Our findings suggest that these computational metrics are a promising approach for characterizing bias in users’ interactive behaviors. © 2019, IFIP International Federation for Information Processing.",Anchoring bias; Cognitive bias; Visual analytics;Behavioral research; Decision making; Visualization; Analytic tools; Anchoring bias; Cognitive bias; Complex problems; Computational metrics; Interactive behavior; User interaction; Visual analytics; Human computer interaction,scopus,Conference paper,,03029743,11747 LNCS,,20.0,Springer Verlag,,,14,15,24,a formative study of interactive bias metrics in visual analytics using anchoring bias,53
Haedecke E.; Mock M.; Akila M.,ScrutinAI: A visual analytics tool supporting semantic assessments of object detection models,2023,10.1016/j.cag.2023.06.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163886752&doi=10.1016%2fj.cag.2023.06.010&partnerID=40&md5=bf7a0e4cf6fb12a3617f72299b9b1fef,"We present ScrutinAI, a Visual Analytics tool to leverage semantic understanding for deep neural network (DNN) prediction analysis, focusing on models for object detection and semantic segmentation. Typical fields of application for such models, e.g., autonomous driving or healthcare, have a high demand for uncovering and mitigating data- and model-inherent shortcomings. Our approach helps analysts and/or auditors use their semantic understanding to identify and investigate potential weaknesses in DNN models. ScrutinAI includes interactive visualizations of the model's inputs and outputs, interactive plots with linked brushing, data filtering with textual queries on descriptive meta data and an interactive similarity based image retrieval feature. The different views and data filtering options enable global and local inspection of DNN predictions. Overall, the tool fosters hypothesis driven knowledge generation which aids in understanding the model's inner reasoning. Insights gained during the analysis process mitigate the “black-box character” of the DNN and thus support model improvement and the generation of a safety argumentation for AI applications. We present two case studies on the investigation of DNN models for pedestrian detection from the automotive domain. © 2023 The Authors",Deep neural networks; Human-centered machine learning; Transparency; Trustworthy AI; Visual analytics;Image retrieval; Learning systems; Object detection; Object recognition; Semantic Segmentation; Semantics; Visualization; Analytic tools; Data filtering; Human-centered machine learning; Machine-learning; Neural network model; Neural network predictions; Objects detection; Semantics understanding; Trustworthy AI; Visual analytics; Deep neural networks,scopus,Article,,00978493,114,,10.0,Elsevier Ltd,,,10,21,25,scrutinai a visual analytics tool supporting semantic assessments of object detection models,56
Thomas I.; Oh S.Y.; Szafir D.A.,Assessing User Trust in Active Learning Systems: Insights from Query Policy and Uncertainty Visualization,2024,10.1145/3640543.3645207,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191001672&doi=10.1145%2f3640543.3645207&partnerID=40&md5=30ec90e6b80ab45c8f4ec80345e058b7,"Active learning (AL) systems have become increasingly popular for various applications in machine learning (ML), including medical imaging, environmental monitoring, and geospatial analysis. These systems rely on inputs dynamically queried from people to enhance classification. Ensuring appropriate analyst trust in these systems presents a significant obstacle as analyst over- or underreliance may adversely affect a given application. Common AL strategies enhance classification models by asking analysts to provide labels for data points with the highest degree of uncertainty. However, such model-centric policies do not consider potential priming effects on the analyst and how they will affect people's trust in the system post-training. We present an empirical study assessing how AL query policies and visualizations that enhance transparency in a classifier's decisions influence trust in automated image classifiers. We found that query policy may significantly influence an analyst's perception of system capabilities, while the level of visual transparency into classifier certainty may influence an analyst's ability to perform a classification task. Our study informs the design of interactive labeling systems to help mitigate the effects of overreliance and calibrate appropriate trust in automated systems. © 2024 ACM.",Autonomous agent; Human-AI collaboration; Human-AI teams;Artificial intelligence; Automation; Autonomous agents; Image enhancement; Learning systems; Medical imaging; Uncertainty analysis; Visualization; Active learning strategies; Active learning systems; Environmental Monitoring; Geo-spatial analysis; Human-AI collaboration; Human-AI team; Machine-learning; Monitoring analysis; Policy visualisation; Uncertainty visualization; Transparency,scopus,Conference paper,,,,,14.0,Association for Computing Machinery,,,13,16,23,assessing user trust in active learning systems insights from query policy and uncertainty visualization,52
Kim Y.-S.; Reinecke K.; Hullman J.,Data Through Others' Eyes: The Impact of Visualizing Others' Expectations on Visualization Interpretation,2018,10.1109/TVCG.2017.2745240,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028716517&doi=10.1109%2fTVCG.2017.2745240&partnerID=40&md5=e035fde03227801d626ecbcb71e862c5,"In addition to visualizing input data, interactive visualizations have the potential to be social artifacts that reveal other people's perspectives on the data. However, how such social information embedded in a visualization impacts a viewer's interpretation of the data remains unknown. Inspired by recent interactive visualizations that display people's expectations of data against the data, we conducted a controlled experiment to evaluate the effect of showing social information in the form of other people's expectations on people's ability to recall the data, the degree to which they adjust their expectations to align with the data, and their trust in the accuracy of the data. We found that social information that exhibits a high degree of consensus lead participants to recall the data more accurately relative to participants who were exposed to the data alone. Additionally, participants trusted the accuracy of the data less and were more likely to maintain their initial expectations when other people's expectations aligned with their own initial expectations but not with the data. We conclude by characterizing the design space for visualizing others' expectations alongside data. © 1995-2012 IEEE.","Data interpretation; Social influence; Social visualization;Computer Graphics; Crowdsourcing; Data Visualization; Databases, Factual; Humans; Mental Recall; Motivation; Social Perception; Trust; Data reduction; Economic and social effects; Focusing; Social aspects; Uncertainty analysis; Visualization; Collaboration; Data interpretation; Market researches; Social influence; Social network services; Social visualization; Uncertainty; computer graphics; crowdsourcing; factual database; human; motivation; perception; recall; trust; Data visualization",scopus,Article,,10772626,24,1,9.0,IEEE Computer Society,,,18,20,14,data through others eyes the impact of visualizing others expectations on visualization interpretation,52
Offert F.; Bell P.,Understanding Perceptual Bias in Machine Vision Systems Visual Analytics as a (Digital) Humanities Challenge,2020,10.18420/inf2020_121,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127315779&doi=10.18420%2finf2020_121&partnerID=40&md5=5a22164c57aa555698afbc89f2ef5d5c,"Machine vision systems based on deep convolutional neural networks are increasingly utilized in digital humanities projects, particularly in the context of art-historical and audiovisual data. As research has shown, such systems are highly susceptible to bias. We propose that this is not only due to their reliance on biased datasets but also because their perceptual topology, their specific way of representing the visual world, gives rise to a new class of bias that we call perceptual bias. Perceptual bias, we argue, affects almost all currently available “off-the-shelf” machine vision systems, and is thus especially relevant for digital humanities applications, which often rely on such systems for hypothesis building. We evaluate the nature and scope of perceptual bias by means of a close reading of a visual analytics technique called “feature visualization” and propose to understand the development of critical visual analytics techniques as an important (digital) humanities challenge, situated at the interface of computer science and visual studies. © 2020 Gesellschaft fur Informatik (GI). All rights reserved.",Bias; Computer vision; Digital art history; Interpretability; Machine learning; Visual analytics;Arts computing; Convolutional neural networks; Deep neural networks; E-learning; Visualization; Analytic technique; Art history; Bias; Digital art; Digital art history; Digital humanities; Historical data; Interpretability; Machine vision systems; Visual analytics; Computer vision,scopus,Conference paper,,16175468,P-307,,10.0,Gesellschaft fur Informatik (GI),,,15,24,25,understanding perceptual bias in machine vision systems visual analytics as a digital humanities challenge,64
Hepworth K.J.,Make me care: Ethical visualization for impact in the sciences and data sciences,2020,10.1007/978-3-030-49713-2_27,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088746261&doi=10.1007%2f978-3-030-49713-2_27&partnerID=40&md5=53d1fb7f75ec514b383d66fe82b7cd41,"Scientists and data scientists have long aspired to eliminate bias from their visualizations. This paper argues that eliminating bias from visualizations is impossible, efforts to do so have negative real-world consequences for people, and that strategically emphasizing bias in visualizations is not only desirable, but also ethical. The growing public mistrust in science has not been helped by efforts to produce visualizations devoid of bias. This paper further argues that ethical visualization can only be achieved by acknowledging and embracing the treacherous nature of data visualization as a medium, committing to an ethics of care in visualization, investigating the potential for both benefit and harm when visualizing specific data, and then employing strategies to mitigate the harm involved in creating, using, and sharing visualizations. These strategies center around consciously crafting a visual frame (ie bias) for communicating data to a given audience. This paper offers 1) a critical lens on the rhetorical nature of visualizations, 2) the Hippocratic oath as a means of committing to maximizing the benefit, and mitigating the harm, done by visualizations, 3) ethical visualization for impact as a practical strategy for taming treacherous visualizations, and 4) compassionate visualizations as the end goal of following ethical visualization practices. © Springer Nature Switzerland AG 2020.",Care ethics; Compassion; Science communication; Visualization;Data Science; Data visualization; Human computer interaction; Philosophical aspects; User experience; User interfaces; Real-world; Visual frame; Visualization,scopus,Conference paper,,03029743,12200 LNCS,,19.0,Springer,,,15,34,15,make me care ethical visualization for impact in the sciences and data sciences,64
Delpish R.; Jiang S.; Davis L.; Odubela K.,A visual analytics approach to combat confirmation bias for a local food bank,2019,10.1007/978-3-319-94391-6_2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049378045&doi=10.1007%2f978-3-319-94391-6_2&partnerID=40&md5=9f5ed6fb3293fedd95f59df00e916d66,"In the fight against hunger, Food Banks must routinely make strategic distribution decisions under uncertain supply (donations) and demand. One of the challenges facing the decision makers is that they tend to rely heavily on their prior experiences to make decisions, a phenomenon called cognitive bias. This preliminary study seeks to address cognitive bias through a visual analytics approach in the decision-making process. Using certain food bank data, interactive dashboards were prepared as an alternative to the customary spreadsheet format. A preliminary study was conducted to evaluate the effectiveness of the dashboard and results indicated dashboards reduced the amount of confirmation bias. © Springer International Publishing AG, part of Springer Nature 2019.",Cognitive bias; Human factors; Human-systems integration; Visual analytics;Cognitive systems; Decision making; Human engineering; Reliability; Visualization; Cognitive bias; Confirmation bias; Decision makers; Decision making process; Human systems integration; Prior experience; Uncertain supplies; Visual analytics; Errors,scopus,Conference paper,,21945357,778,,10.0,Springer Verlag,,,14,14,26,a visual analytics approach to combat confirmation bias for a local food bank,54
Dasgupta A.; Lee J.-Y.; Wilson R.; Lafrance R.A.; Cramer N.; Cook K.; Payne S.,Familiarity Vs Trust: A Comparative Study of Domain Scientists' Trust in Visual Analytics and Conventional Analysis Methods,2017,10.1109/TVCG.2016.2598544,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022186716&doi=10.1109%2fTVCG.2016.2598544&partnerID=40&md5=109f5bfce21ae0a8f9bf019ba8960a24,"Combining interactive visualization with automated analytical methods like statistics and data mining facilitates data-driven discovery. These visual analytic methods are beginning to be instantiated within mixed-initiative systems, where humans and machines collaboratively influence evidence-gathering and decision-making. But an open research question is that, when domain experts analyze their data, can they completely trust the outputs and operations on the machine-side? Visualization potentially leads to a transparent analysis process, but do domain experts always trust what they see? To address these questions, we present results from the design and evaluation of a mixed-initiative, visual analytics system for biologists, focusing on analyzing the relationships between familiarity of an analysis medium and domain experts' trust. We propose a trust-Augmented design of the visual analytics system, that explicitly takes into account domain-specific tasks, conventions, and preferences. For evaluating the system, we present the results of a controlled user study with 34 biologists where we compare the variation of the level of trust across conventional and visual analytic mediums and explore the influence of familiarity and task complexity on trust. We find that despite being unfamiliar with a visual analytic medium, scientists seem to have an average level of trust that is comparable with the same in conventional analysis medium. In fact, for complex sense-making tasks, we find that the visual analytic system is able to inspire greater trust than other mediums. We summarize the implications of our findings with directions for future research on trustworthiness of visual analytic systems. © 1995-2012 IEEE.",biological data analysis; familiarity; transparency; trust; uncertainty;Data mining; Data visualization; Decision making; Transparency; Uncertainty analysis; Biological data; Conventional analysis method; familiarity; Interactive visualizations; Mixed-initiative systems; trust; uncertainty; Visual analytics systems; article; biologist; comparative study; controlled study; human; trust; Visualization,scopus,Article,,10772626,23,1,9.0,IEEE Computer Society,,,12,24,25,familiarity vs trust a comparative study of domain scientists trust in visual analytics and conventional analysis methods,61
